id_test,dominio,prova,critico,prerequisito,stato,responsabile,fornitore,obiettivo,risultato_reale,esito,riferimento_evidenza,azione_correttiva,scadenza,stagionale,note
SAT-EL-01,grid,PCC meter and configuration,SI,energized PCC,NON PRONTO,,,polarity-direction-PQSPF-energy correct,,,,NO,
SAT-EL-02,BESS,full charge discharge,SI,BESS commissioned,NON PRONTO,,,vendor acceptance limits,,,,NO,
SAT-EL-03,BESS,30kW continuous island,SI,critical bus ready,NON PRONTO,,,30kW sustained no trip/overtemp,,,,NO,
SAT-EL-04,BESS,P0 no-reboot grid loss,SI,P0 production-like load,NON PRONTO,,,zero reboot NODE-A/B/QNODE/network/PLC,,,,NO,
SAT-EL-05,BESS,black-start,SI,island controls ready,NON PRONTO,,,dead-grid to P0/P1 successful,,,,NO,
SAT-EL-06,BESS,low SOC load shedding,SI,load groups mapped,NON PRONTO,,,P3/P2 shed and P0 preserved,,,,NO,
SAT-EL-07,BESS,grid return,SI,grid/island tests passed,NON PRONTO,,,controlled reconnect no mass restart,,,,NO,
SAT-WA-01,water,pump duty point,SI,wet commissioning,NON PRONTO,,,Q-H-kW within design,,,,NO,
SAT-WA-02,water,1+1 failover,SI,both pumps available,NON PRONTO,,,automatic standby pickup safe,,,,NO,
SAT-WA-03,water,low-level dry-run,SI,tank sensors ready,NON PRONTO,,,pump inhibited/tripped correctly,,,,NO,
SAT-WA-05,fertigation,dosing permissive,SI,flow measurement validated,NON PRONTO,,,no dosing without flow,,,,NO,
SAT-WA-07,reuse,treatment failure HOLD,SI,reuse system installed,NON PRONTO,,,no release to clean tank,,,,NO,
SAT-TH-01,thermal,PDC enable disable,SI,hydronic ready,NON PRONTO,,,control and permissives correct,,,,NO,
SAT-TH-03,thermal,zone pump or valve fail,SI,distribution ready,NON PRONTO,,,safe degraded operation,,,,NO,
SAT-CR-01,cold,sensor calibration,SI,cell powered,NON PRONTO,,,within calibration tolerance,,,,NO,
SAT-CR-03,cold,loaded pull-down,SI,real representative batch,NON PRONTO,,,core temperature target met,,,,SI,
SAT-CR-05,cold,defrost and drain,SI,refrigeration running,NON PRONTO,,,no freeze/flood/unsafe warming,,,,NO,
SAT-SRV-01,server,compute node failover,SI,cluster configured,NON PRONTO,,,SLO/RPO/RTO met,,,,NO,
SAT-SRV-02,server,DB PITR restore,SI,backup chain ready,NON PRONTO,,,restore proven,,,,NO,
SAT-SRV-03,server,NATS R3 single node loss,SI,NATS cluster ready,NON PRONTO,,,critical streams continue,,,,NO,
SAT-SRV-04,server,edge offline replay,SI,edge buffer configured,NON PRONTO,,,no loss/duplicate beyond design,,,,NO,
SAT-RT-01,retail,payment vend reconciliation,SI,retail test environment,NON PRONTO,,,no double charge/double vend,,,,NO,
SAT-SAFE-03,site,Internet loss,SI,local controls ready,NON PRONTO,,,safety/production local mode continue,,,,NO,
SAT-SAFE-04,site,server loss,SI,PLC-edge local modes ready,NON PRONTO,,,safe autonomous operation,,,,NO,
SAT-END-01,site,72h integrated endurance,SI,critical SAT passed,NON PRONTO,,,no unexplained reset/trip/data corruption,,,,NO,
SAT-END-03,site,operator emergency drill,SI,training complete,NON PRONTO,,,correct response without hidden expert dependency,,,,NO,
