test_id,domain,test,critical,prerequisite,status,owner,vendor,target,actual,result,evidence_ref,corrective_action,due_date,seasonal,notes
SAT-EL-01,grid,PCC meter and configuration,YES,energized PCC,NOT READY,,,polarity-direction-PQSPF-energy correct,,,,NO,
SAT-EL-02,BESS,full charge discharge,YES,BESS commissioned,NOT READY,,,vendor acceptance limits,,,,NO,
SAT-EL-03,BESS,30kW continuous island,YES,critical bus ready,NOT READY,,,30kW sustained no trip/overtemp,,,,NO,
SAT-EL-04,BESS,P0 no-reboot grid loss,YES,P0 production-like load,NOT READY,,,zero reboot NODE-A/B/QNODE/network/PLC,,,,NO,
SAT-EL-05,BESS,black-start,YES,island controls ready,NOT READY,,,dead-grid to P0/P1 successful,,,,NO,
SAT-EL-06,BESS,low SOC load shedding,YES,load groups mapped,NOT READY,,,P3/P2 shed and P0 preserved,,,,NO,
SAT-EL-07,BESS,grid return,YES,grid/island tests passed,NOT READY,,,controlled reconnect no mass restart,,,,NO,
SAT-WA-01,water,pump duty point,YES,wet commissioning,NOT READY,,,Q-H-kW within design,,,,NO,
SAT-WA-02,water,1+1 failover,YES,both pumps available,NOT READY,,,automatic standby pickup safe,,,,NO,
SAT-WA-03,water,low-level dry-run,YES,tank sensors ready,NOT READY,,,pump inhibited/tripped correctly,,,,NO,
SAT-WA-05,fertigation,dosing permissive,YES,flow measurement validated,NOT READY,,,no dosing without flow,,,,NO,
SAT-WA-07,reuse,treatment failure HOLD,YES,reuse system installed,NOT READY,,,no release to clean tank,,,,NO,
SAT-TH-01,thermal,PDC enable disable,YES,hydronic ready,NOT READY,,,control and permissives correct,,,,NO,
SAT-TH-03,thermal,zone pump or valve fail,YES,distribution ready,NOT READY,,,safe degraded operation,,,,NO,
SAT-CR-01,cold,sensor calibration,YES,cell powered,NOT READY,,,within calibration tolerance,,,,NO,
SAT-CR-03,cold,loaded pull-down,YES,real representative batch,NOT READY,,,core temperature target met,,,,YES,
SAT-CR-05,cold,defrost and drain,YES,refrigeration running,NOT READY,,,no freeze/flood/unsafe warming,,,,NO,
SAT-SRV-01,server,compute node failover,YES,cluster configured,NOT READY,,,SLO/RPO/RTO met,,,,NO,
SAT-SRV-02,server,DB PITR restore,YES,backup chain ready,NOT READY,,,restore proven,,,,NO,
SAT-SRV-03,server,NATS R3 single node loss,YES,NATS cluster ready,NOT READY,,,critical streams continue,,,,NO,
SAT-SRV-04,server,edge offline replay,YES,edge buffer configured,NOT READY,,,no loss/duplicate beyond design,,,,NO,
SAT-RT-01,retail,payment vend reconciliation,YES,retail test environment,NOT READY,,,no double charge/double vend,,,,NO,
SAT-SAFE-03,site,Internet loss,YES,local controls ready,NOT READY,,,safety/production local mode continue,,,,NO,
SAT-SAFE-04,site,server loss,YES,PLC-edge local modes ready,NOT READY,,,safe autonomous operation,,,,NO,
SAT-END-01,site,72h integrated endurance,YES,critical SAT passed,NOT READY,,,no unexplained reset/trip/data corruption,,,,NO,
SAT-END-03,site,operator emergency drill,YES,training complete,NOT READY,,,correct response without hidden expert dependency,,,,NO,
