id_rischio,tipo,dominio,titolo,classe_impatto,probabilita,stato,segnale_attivazione,mitigazione,evidenza_chiusura,responsabile,verifica_collegata,note
P-01,PROBLEMATICA,Finance,Financial package not perfected,I4,DA_DEFINIRE,APERTO,No final grant-loan-VAT-bridge actuals,DG0/F0 close,Formal acts + protected reserve,,DG0,
P-02,PROBLEMATICA,Site,Real site not validated,I4,DA_DEFINIRE,APERTO,No acquired validated lot,Due diligence and masterplan,Approved DG1 evidence,,DG1,
P-03,PROBLEMATICA,Agronomy,P1 crop cards incomplete,I3,DA_DEFINIRE,APERTO,Final P1 recipes not frozen,Complete crop cards,Approved crop cards,,DG2,
P-04,PROBLEMATICA,Finance,Major CAPEX mostly E0-E1,I4,DA_DEFINIRE,APERTO,Installed quotes missing,Comparable E3-E4 RFQs,Accepted quotes/contracts,,DG3,
P-05,PROBLEMATICA,Energy,Real P0-P1 load profile missing,I4,DA_DEFINIRE,APERTO,No measured profile/transients,1-15min measurement+transients,Completed load register,,DG2,
P-06,PROBLEMATICA,Grid,DSO-POD-BTMT unknown,I4,DA_DEFINIRE,APERTO,No real site connection data,TICA application/quote,DSO quote and design basis,,DG2,
P-07,PROBLEMATICA,Pilots,Q3 pilots not executed,I3,DA_DEFINIRE,APERTO,No pilot evidence,Execute master pilots,PASS decision records,,DG3,
P-08,PROBLEMATICA,Commissioning,SAT not executed,I4,DA_DEFINIRE,APERTO,Plant not installed,Master SAT,Critical SAT PASS,,DG7,
P-09,PROBLEMATICA,OPEX,Real OPEX unavailable,I3,DA_DEFINIRE,APERTO,No operating actuals,30-90 day measurement,Actual OPEX baseline,,DG8,
P-10,PROBLEMATICA,Market,P1 demand not validated,I4,DA_DEFINIRE,APERTO,250k target not contracted,Pre-sales and channel validation,Recurring demand evidence,,DG8,
R-FIN-01,RISCHIO,Finance,Grant or funding delay/reduction,I4,DA_DEFINIRE,APERTO,Funding deviation,DG0+bridge+cash schedule,Formal funding and cash coverage,,DG0,
R-FIN-02,RISCHIO,Finance,Operational reserve consumed by CAPEX,I4,DA_DEFINIRE,APERTO,Attempt to use C4 for CAPEX,Cash segregation,120k reserve protected,,DG0,
R-FIN-03,RISCHIO,Finance,Installed CAPEX exceeds envelope,I4,DA_DEFINIRE,APERTO,RFQ variance,Design-to-value and scope review,E3-E4 consolidated forecast,,DG3,
R-SITE-01,RISCHIO,Site,Lot technically unsuitable or costly,I4,DA_DEFINIRE,APERTO,Due-diligence red flag,Pre-purchase due diligence,DG1 PASS,,DG1,
R-SITE-02,RISCHIO,Civil,Foundations/structure cost escalation,I3/I4,DA_DEFINIRE,APERTO,Geotech/load result,3 RFQs+quantity takeoff,Approved structural cost,,DG2,
R-WAT-01,RISCHIO,Water,Water source insufficient or unsuitable,I4,DA_DEFINIRE,APERTO,Seasonal analysis failure,Analysis+storage+treatment,Validated water design,,DG2,
R-WAT-03,RISCHIO,Water,Pathogen spread through drain reuse,I4,DA_DEFINIRE,APERTO,Positive pathogen/treatment failure,HOLD+segregation+pilot,Pilot and agronomic signoff,,DG6,
R-WAT-05,RISCHIO,Environment,Unlawful or misclassified discharge,I4,DA_DEFINIRE,APERTO,No legal discharge route,Classification+AUA/SUAP if needed,Authorized route,,DG4,
R-AGR-01,RISCHIO,Agronomy,Yield below crop-card target,I4,DA_DEFINIRE,APERTO,P1 measured underperformance,P1 measurement+slow P2 expansion,Two significant periods or approved exception,,DG8,
R-AGR-02,RISCHIO,Agronomy,P1 crop mix mismatched to season/market,I3/I4,DA_DEFINIRE,APERTO,Market-season mismatch,Prevalidation+flexibility,Approved seasonal crop plan,,DG2,
R-TH-01,RISCHIO,Thermal,Heat pumps underperform in cold design,I4,DA_DEFINIRE,APERTO,Low-temp data gap,A-7/-10/-15 + storage + seasonal SAT,Seasonal SAT PASS,,DG6,
R-TH-02,RISCHIO,Climate,Dehumidification undersized,I3/I4,DA_DEFINIRE,APERTO,Vapor load exceeds design,Mass-balance and measured tuning,Humidity performance evidence,,DG6,
R-EL-01,RISCHIO,Grid,DSO connection more complex/costly,I4,DA_DEFINIRE,APERTO,MT/export/works requirement,Compare G100-G120-cap scenarios,Accepted DSO solution,,DG3,
R-EL-02,RISCHIO,Energy,30kW BESS insufficient for real critical loads,I4,DA_DEFINIRE,APERTO,Measured P0-P1 overload,Load register+restart/load shed,Blackout SAT PASS,,DG7,
R-EL-03,RISCHIO,Energy,Backup transfer causes reboot,I4,DA_DEFINIRE,APERTO,Any P0 reboot,Exact topology+blackout SAT,Zero reboot test,,DG7,
R-EL-05,RISCHIO,Safety,BESS fire/explosion,I4,DA_DEFINIRE,APERTO,Fire design gap,External install+fire assessment,Fire acceptance and emergency plan,,DG4,
R-FOOD-01,RISCHIO,ColdChain,Cold rooms undersized for pull-down,I4,DA_DEFINIRE,APERTO,Real batch exceeds target,Load calc+loaded pull-down,Loaded SAT PASS,,DG6,
R-FOOD-04,RISCHIO,Retail,Sale of product out of temperature/spec,I4,DA_DEFINIRE,APERTO,Temp excursion or genealogy gap,Independent logger+block sale+HACCP,Retail SAT PASS,,DG7,
R-IT-01,RISCHIO,Automation,Central server becomes operational SPOF,I4,DA_DEFINIRE,APERTO,Unsafe dependency on central stack,Local PLC-edge autonomy+DR,Server-loss SAT PASS,,DG7,
R-IT-03,RISCHIO,Cyber,Cybersecurity compromise,I4,DA_DEFINIRE,APERTO,Unauthorized access/security event,VLAN+RBAC+VPN+backup+runbook,Security acceptance and drill,,DG7,
R-ROB-01,RISCHIO,Robotics,AMR incompatible with real greenhouse,I3,DA_DEFINIRE,APERTO,Pilot KPI miss,Site pilot 100 missions,PIL-AMR PASS,,DG3,
R-ROB-02,RISCHIO,Safety,Mower unsafe in shared areas,I4,DA_DEFINIRE,APERTO,No-go or lockout failure,Hens-clear+visitor lockout+pilot,PIL-MOW PASS,,DG3,
R-ROB-03,RISCHIO,AnimalWelfare,Chicken rover fails cleaning/welfare target,I3/I4,DA_DEFINIRE,APERTO,Pilot critical event,100 mission mixed-surface pilot,PIL-HEN PASS,,DG3,
R-SUP-01,RISCHIO,Procurement,Quotes not comparable,I3,DA_DEFINIRE,APERTO,Scope exclusions mismatch,Standard RFQ format,Comparable E3 offers,,DG3,
