pilot_id,bom,package,status,site_required,min_sample_or_duration,primary_kpi,pass_gate,cost_status,next_action
PIL-AMR,BOM-020,greenhouse AMR,P1/P2,PARTIAL,8h demo + 100 missions,mission success/docking/safety,100 consecutive missions and docking>=99% with zero critical contact,RFQ,book vendor-equivalent demo then site pilot
PIL-MOW,BOM-022,lawn mower,P0/P2,YES,20 dock-return cycles,dock/no-go/failsafe,no forbidden-area entry and documented recovery,OPEN,wait for real lawn geometry then pilot
PIL-RETAIL,BOM-028,24-7 retail,P1/P2,PARTIAL,100 vends per critical SKU,jam/damage/temp/reconciliation,zero target jam/pack break and reconciled sale/refund,RFQ,bench-test actual package samples
PIL-REUSE,BOM-033,drain reuse,P0/P2,YES,30-60 days,mass balance/NaCl/pathogens/TCO,treatment+crop signoff+legal discharge route,RFQ,run one-compartment pilot after first production
PIL-DID,BOM-027,educational farm,P0/P2,YES,1 realistic visit + emergency drill,accessibility/segregation/emergency,no critical finding and ERSA pre-check closed,RFQ,execute after visitor masterplan
PIL-BESS,BOM-034,BESS critical bus,P0/P2,YES,blackout SAT + 72h log,no-reboot/black-start/shed/grid return,P0 no-reboot and protection tests PASS,RFQ,include in supplier acceptance contract
PIL-COLD,BOM-024,cold rooms,P0/P2,YES,representative batch pull-down,pull-down/coreT/RH/kWhkg,crop-card temperature and quality targets met,RFQ,execute at commissioning with real product
PIL-PACK,BOM-025,packaging,P1/P2,PARTIAL,100 packs per critical SKU,throughput/reject/damage/label,no critical pack defect and target labour-throughput met,RFQ,bench-test real SKU/pack before purchase
PIL-LIFT,BOM-021,multifunction telehandler,P1/P2,YES,4h duty plus representative missions,stability/material handling/bucket/charging,all core missions completed with zero critical safety issue,RFQ,site demo before order
PIL-HGT,H1,height access,P1/P2,YES,critical maintenance points plus emergency test,reach/setup/stability/recovery,100 percent critical maintenance points safely reachable,RFQ,compare OEM platform spider PLE and rental
